sku,nombre,marca,variante,capacidad,envase,presentacion,unidadOPack,gtin,disponible,imageUrlActual,tipoActual,imageUrlPreparada,tipoPreparado,fuente,sourceType
powerade-mountain-blast-500ml,Powerade Mountain Blast,Powerade,Mountain Blast,500 ml,botella-pet,Unidad,UNIDAD,,true,assets/products/powerade-mountain-blast-500ml-1ea05e4f6f192e2f-4d73a0a156b31cb6.webp,REAL,assets/products/powerade-mountain-blast-500ml-1ea05e4f6f192e2f-4d73a0a156b31cb6.webp,REAL,https://ardiaprod.vtexassets.com/arquivos/ids/364198/Bebida-Isotonica-Powerade-Mountain-Blast-500-Ml-_2.jpg?v=639047812189470000,proveedor_aprobado
quilmes-clasica-botella-710ml,Quilmes Clásica,Quilmes,Lager,710 ml,botella,Unidad,UNIDAD,,false,,FALLBACK,,FALLBACK,,
quilmes-clasica-lata-473ml,Quilmes Clásica,Quilmes,Lager,473 ml,lata,Unidad,UNIDAD,,false,,FALLBACK,,FALLBACK,,
quilmes-clasica-lata-473ml-pack-6,Quilmes Clásica,Quilmes,Lager,473 ml,lata,Pack x6,PACK,,false,,FALLBACK,,FALLBACK,,
quilmes-stout-lata-473ml,Quilmes Stout,Quilmes,Stout,473 ml,lata,Unidad,UNIDAD,,false,,FALLBACK,assets/products/quilmes-stout-lata-473ml-43e8c2ca1b9a2d88-ea37359d57b3e5bf.webp,REAL,https://jumboargentina.vteximg.com.br/arquivos/ids/890491/Cerveza-Quilmes-Stout-473cc-1-5591.jpg?v=638987206018100000,proveedor_aprobado
red-bull-original-250ml,Red Bull,Red Bull,Original,250 ml,lata,Unidad,UNIDAD,,true,assets/products/red-bull-original-250ml-2d86788f7b853c11-d9018a7780c8e25b.webp,REAL,assets/products/red-bull-original-250ml-2d86788f7b853c11-d9018a7780c8e25b.webp,REAL,https://www.redbull.com/energydrink/v1/resources/storyblok/images/f/287059/528x1348/b0f01ba07f/ar_ed_250ml_energy-drink_country_rgb__cold_closed_front_com_full.png/m/686x0,fabricante
red-bull-sin-azucar-250ml,Red Bull Sugarfree,Red Bull,Sin azúcar,250 ml,lata,Unidad,UNIDAD,,true,assets/products/red-bull-sin-azucar-250ml-f0aeca853a67db50-8f27b231957a48bb.webp,REAL,assets/products/red-bull-sin-azucar-250ml-f0aeca853a67db50-8f27b231957a48bb.webp,REAL,https://www.redbull.com/energydrink/v1/resources/storyblok/images/f/287059/528x1348/4fe7d5680f/ar_sf_250ml_sugarfree_country_rgb_do241550_cold_closed_front_com_full.png/m/686x0,fabricante
seven-up-original-2000ml,7UP,7UP,Original,2000 ml,botella-pet,Unidad,UNIDAD,,true,assets/products/seven-up-original-2000ml-2ed6deb5fa431d4b-f32d43104a61239c.webp,REAL,assets/products/seven-up-original-2000ml-2ed6deb5fa431d4b-f32d43104a61239c.webp,REAL,https://jumboargentina.vteximg.com.br/arquivos/ids/904889/Gaseosa-Lima-Lim-n-X-2-Lts-7-Up-1-1057020.jpg?v=639232771896330000,proveedor_aprobado
soda-manaos-sifon-2000ml,Soda Manaos,Manaos,Soda,2000 ml,sifon,Unidad,UNIDAD,,true,assets/products/soda-manaos-sifon-2000ml-b92e160958368c0d-3700b6c8cb4ec1b4.webp,REAL,assets/products/soda-manaos-sifon-2000ml-b92e160958368c0d-3700b6c8cb4ec1b4.webp,REAL,https://www.manaosargentina.com/images/productos/soda/MANAOS-SODA-2LTS.jpg,fabricante
speed-original-473ml,Speed,Speed,Original,473 ml,lata,Unidad,UNIDAD,,true,assets/products/speed-original-473ml-f66e48f651a6ab20-6521a9b08adab1f3.webp,REAL,assets/products/speed-original-473ml-f66e48f651a6ab20-6521a9b08adab1f3.webp,REAL,https://distribuidoramif.com.ar/wp-content/uploads/2026/07/377a6ad4-3847-4ff2-9fdb-bf15998223a5.jpg,proveedor_aprobado
